ID,Article,R1/R2,How many experiments were covered? ,What problems were encountered during the reproduction?,What assumptions did you make?,"What hardware was the reproduction attempts performed with (CPU, RAM, GPU if relevant)? Which operating system? Which third-party libraries were used?",Summary of results,Evaluation of results,What are the most probable causes of the reproduction error?,Was the reproduction a success?,How many hours were used in the reproduction attempt?
11,Classification with Noisy Labels by Importance Reweighting,R2,"- One of six experiments were attempted reproduced
- Out of the six, one experiment was not attempted because it involved synthetic data, and the other four were not attempted because we did not have time to implement the necessary methods","- Some parts of the experiment, in particular the details of the classification, was poorly described (9)
- How the method and experiment was implemented was barely covered in the paper (11)
- Partition of data into training and test set is not shared (18)",- Assumed the implementation of the KLIEP library used in the reprodction is equivalent to the method used in the original experiment,"- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Matlab 9.3.0.713579 (R2017b)
- Libraries: KLIEP
",Classification with Noisy Labels by Importance Re.,"- The results achieved by the reproduction are close to the ones achieved in the original paper, but not exact matches
- In some cases the reproduction is better than the original results, and in some cases worse
- The reproduction, like the original results, achieves the criteria set forth in the original paper of being less than 0.1 from the ground truth
- The reproduction is not entirely consistent with the original results when compared to the reference algorithms. However, it is consistent when using the paper's error limit of 0.1 to compare methods.","- Difference in implementation of the KLIEP method. The experiment reproduced is fairly simple, and little code was actually produced in the reproduction. However, a third party implementation of the KLIEP method was used, and may be different from the implementation used in the original experiment
- The experiment involves random partitioning of the dataset into training and test sets, and the random addition of noise. The differences in random values used is likely to cause some difference in results, and may explain much of the difference",Yes?,40
12,Deep Convolutional and LSTM Recurrent Neural Networks for Multimodal Wearable Activity Recognition,R1,"- Two of three experiments was attempted reproduced
- One of the two experiements could be reproduced without re-training the network, the second required re-training","- A guide for reproducing one of the experiments of the paper was found online. However, the results produced when performing the steps of the guide and runing the associated code are not the same as are reported in the original paper 
- Some parameters seem to have different values in the code online and the paper. When editing these and re-training the network, we achieve worse results than by following the guide (4)
- The guide does not cover how to reproduce the experiment on the Skoda data set (1)","- We assumed the code available online was the same as was used in the original experiment, but we did experiment with different parameter values","- CPU: Intel i7-5930K
- RAM: 48 GB
- GPU: Nvidia GeForce GTX TITAN X
- OS: Ubuntu Linux 16.04.3 LTS
- Language: Python 2.7.12
- Libraries: Theano 1.0.1, Lasagne 0.2, Numpy 1.14.3, Pandas 0.22.0",Deep Conv. and LSTM ,"- The best reproduction results are achieved by following the available guide, even though some of the parameters seem to have values different from the original paper
- Re-training the network produced significantly worse results
- The reproduction results achieved when following the available guide without modifications are consistent with the original results. The reproduced results achieved when re-training the network or modifying the code are not consistent.","- When following the guide the reproduction error might be due to different weights learned or different parameters. However, it might also be caused by differences in random initialization or hardware
- When retraining the network, the error is most likely caused by the network learning different weights. This might be due to difference in parameters used",No,20
13,Context Aware Saliency Detection,R2,- Two out of two experiments were covered,"- The method code found were encrypted (7)
- The center prior seems to strongly influence the saliency
- It was difficult to find out the selection of test set from one of the datasets (16)
- The other dataset was only found on the personal university page of the author of the article referenced. In addition only 58 out of 62 ground truths were found. (15)
- The article did not explain the steps used to create the ROC curves (10)",- One of the datasets had four ground truths for each image. Assumed each curve were calculated and the average were used as the result,"- CPU: Intel 5Y10
- RAM: 8GB
- OS: Windows 10 Home, Version: 17134.48
- Language: Matlab R2017b",Context Aware Saliency Detection,"- The ROC curve for the first dataset were consistently higher for each percentage
- The ROC curve for the second dataset were consistently lower for each percentage","- The subset of images used were not the same as the article
- The 2D Gaussian used
- The normalization used",No,40
14,Distributed representations of sentences and documents,R2,- Zero experiments were covered,"- Details of the method, how it was trained were missing. (11)
- The method used in the article was based on previous work by the same author. The code for this were found. The code was difficult to read / understand.",- Assumed the method could be created by modifying the previous code from the author,"- CPU: Intel 5Y10
- RAM: 8GB
- OS: Windows 10 Home, Version: 17134.48
- Language: C",No results,No results were created,,No,36
15,XGBoost: A scalable tree boosting system,R1,- Two out of four experiments were covered,"- The R library used in the comparison of running time needed < 16GB RAM
- The number of epochs were not specified (13)",- Assumed they used the second test set in the Learning to Rank experiment,"- CPU: Intel i5-4670
- RAM: 8 GB
- OS: Windows 10 Pro, version 1709
- Language: Python 2.7",XGBoost: A scalable tree boosting system,- The results achieved higher accuracy,- The number of epochs is not known,No?,40
16,Facial landmark detection by deep multi-task learning,R2,"12 in paper, 0 successfully implemented","* [15, 17] The dataset (MTFL) is claimed to be annoted by bounding boxes in the paper but is not in the linked one
* [15] The main dataset (MTFL) is a combination of existing named datasets (lfw, net), but the directory also contains the test set (AFLW) -- and the paper also uses several other datasets (AFW, AFLW) as test sets. Pieceing together this took a while.
* [] I found two dataset with annotations (one for the test set AFLW from a separate author, and one for MTFL from a different paper from the same authors). This MTFL dataset with annotated bounding boxes has a different way of annotating the other features (undocumented order, undocumented (0-indexing?) rather than (1-indexing?) that the linked but no boundingbox-MTFL dataset had
* [10] I struggle to understand the method, particularly some of the notation (convolution was not explicitly stated as such, the difference between formulas where the weights is a vector and the weight is a matrix is not clear to me, the dimensions of the weight matrices are not clear)
* The lack of a new paragraph as the paper starts decribing the CNN just after describing the models for the auxiliary tasks was a source of confusion
* Most of my problems were from trying to implement the objective function (eq3), which are likely due to my own understanding rather than the paper itself
* [6] A non-inspectable program is provided by the authors
",* None that come into play due to time running out before a runnable implementation was ready,,None achieved,,"* Own unfamiliarity with the viable frameworks
* Problems understanding the weight matrices the paper uses for the individual regression/classification tasks
",No,40
17,Deep learning-based classification of hyperspectral data,R1,"16 in paper, 6 covered by code
* Two datasets
* Method is developed stepwise adding more improvements to the method through 4 steps
* Each dataset is tested on each method (4+4 experiments)
* Only the last 3 steps of the method appear to be in the R1 code (the code covers 6 of the 8 experiments)
* There are various additional smaller experiments covering execution time and performance as parameters (e.g number of layers) varies","* [13, 4] The parameters for e.g epochs are not explicit for all experiments (and the code has several versions with some modifications to these)
* The code on github (R1) is said to be version-locked and ""guaranteed to reproduce the results in the paper""...
* [6, 4] ...though the author makes some weird commits that changes the epoch numbers to values not mentioned in the paper
* ...a user mentioned getting poor scores on the same dataset I get poor scores on, though the user never responded back to the authors inqueries for more information about the issue
* The paper mentions using a GPU is faster though the code does not appear to use one ""out of the box"" without slight modifications (OS environment variables?) May be due to my own poor understanding of this. 
* The results for the other dataset (Pavia) are close but only 1/3 is not obviously outside the upper whisker of the accuracy boxplot.
* [1] The code does not cover all the experiments (in particular not covering the preliminary experiments)
* The code has two bugs due to library/program versions: (one import, one numpy bug fixed in a recent numpy version)

","* [9] That the fix in numpy does not affect the result
* [3, 15] That the GPU environment flags have no negative effect (although I tried running one experiment without the flags; the result was not discernably affected other than runtime).
* [1] That the version of the code I ran is the same as the paper
* [2, 11] The paper is not completely explicit which parameters were used for each experiment.  (I reverted one of the commits that changed the epoch number from 3300 to 300; the paper mentions 3300 for that particular experiment) -- Although I did try running with the new number to, I can not remember that it improved the results (rather the contrary)

","OS: Ubuntu Linux 16.04.3 LTS
Kernel: Linux 4.4.0-109-generic SMP x86_64
CPU: Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz
GPU: GeForce GTX TITAN X
Mem/Swap: 43GiB/63GiB

Packages (see also https://github.com/hantek/deeplearn_hsi):
* python-2.7.12
* numpy-1.14.0
* scipy-1.0.0
* scikit-learn-0.19.1
* Pillow-5.0.0
* pylab-???
* Theano-1.0.1 (1.0.1+40.g757b4d5)
* libopenblas-dev/xenial 0.2.18-1ubuntu1 amd64 [this might be misinterpreted; aptitude is weird]
* g++ (Ubuntu 5.4.0-6ubuntu1~16.04.5) 5.4.0 20160609
* libcudnn.so.5.1.10
* cuda-8.0 [?]

",https://github.com/Capeo/AIReproducibility/blob/master/DLClassifHypspec/results,* I hesitate to call it a success even for the 3 experiments on the Pavia dataset (perhaps only one of them as that was within the whiskerplot),"* [7] If I had to guess I would say something broke in a library version update somewhere.
* [1] The code versions on github are different from what the authors ran
* [11] Or perhaps most likely, as hinted to by the author on github, an issue with the datasets used.",No,8
18,Semi-supervised and unsupervised extreme learning machines,R2,"38 in paper, 5 covered by my implementation
* A lot of experiments cover the unsupervised part, which is not implemented due to time constraints.
* Others cover e.g training time which is less useful without an implementation of the methods runtime being compared to","* [8, 10, 11, 13] The paper offloads parameters and method descriptions to other cited papers a bit much, at times listing three papers at once (""hyperparameter settings can be found in [cit47,cit52,cit57]""), yet these cited papers are not clear on parametes either, or might have more parameters than the needed one, or several values for one of the parameters
* [18] The partition of the training set into folds is not described in detail
* [11] The paper often suggests (several) ways something can be done, but rarely if every how it did the thing
* [10] The construction of the laplacian is in particular very abstractly described. Even the cited papers are rather brief and not very explicit about how the laplacian is calculated
* The first version of my implementation had even poorer results than the current one due to a misunderstanding about how the paper represented the target labels

","* [13] The partition method for the training set into folds
* [5] Other papers are used for some clarity for parts of the method (but the other papers do not make it very clear)
* [7, 11] Often several ways to do things, which in particular is not described.
* [8] Third party implementations of some helper methods assumed to be equivalent
* [4, 6] The construction of the laplacian has many assumptions about the ways things are done (DLD vs LP vs L as an example)
* [11] Parameters","OS: Ubuntu Linux 16.04.3 LTS
Kernel: Linux 4.4.0-109-generic SMP x86_64
CPU: Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz

Packages:
* scipy-1.0.0
* scikit-learn-0.19.1
* numpy-1.14.0
* python-3.5.2

",https://github.com/Capeo/AIReproducibility/tree/master/SemiSupELM/results,20-40% worse than the paper on accuracy of classifications,"* [2] wrong interpretation of some method
* [3,5] error in the implementation of the method
* [4,6] error in the way I construct the input/label matrices e.g the one-hot for the labeled set
* [7] Library implementation difference
* [9] Parameters",No,40
19,DeepReID: Deep Filter Pairing Neural Network for Person Re-Identification,R2,"6 in paper, 0 successfully implemented","* [9] The methodology for creating training pairs of positive and negative examples from the datasets is not evident
* [15, 17] The paper claims the dataset contains original image frames, though only contains cropped versions. 
* [9] The images in the dataset are in the method supplemented by slightly perturbed versions, though it is not clear whether this uses the cropped images or the (unsupplied) origianl images as the base
* [15] The dataset is described to contain N images in the paper, but actually contains N+k (the paper in a later section mentions the dataset was supplemented with k new images, but this is after they said they would release the dataset (which was described just prior)). Making sense of this took a while.
* [8,9,10] The training strategies are poorly documented, in particular data balancing: The proportion of negative samples are increased from a ratio of 1:1 up to a ratio of 5:1 as the training progresses, but the rate at which this ratio scales is not documented, nor is the duration of training (""until convergence"") -- and after convergence the model is trained furthermore. This makes even trial and error in figuring out the rate difficult.
* [18] The test set is shared though not training/validation or details on how to construct
",,,None achieved,,Experiment not documented well enough.,No,22
20,Deep neural networks: A promising tool for fault characteristic mining and intelligent diagnosis of rotating machinery with massive data,R2,"10 in paper, 0 successfully implemented","* [9, 15] The dataset does not make sense as described in the paper. The paper mentions 200 signals with 2400 datapoints each but the dataset is a flat 1xN array with 480000 entries. 
* I have made the observation 200*2400=480 000 though I have no idea what this signifies
* [15] The paper has different names for one of the datasets (ball vs roller) that took a while to understand as the same thing.
* [15] The paper lists the dataset used with different units from the dataset list on the website
* [9, 15] The fourth dataset D is listed as 1-3hp (A,B,C are 1,2,3 hp) so I would assume this is a concatenation, but this is described nowhere. 
* [9, 15] The website has multiple categories for one dataset listing in the paper for some fault sizes, but the paper does not go into details how to treat this

",N/A,N/A,None achieved,N/A,Dataset description in paper not documented  well enough,No,8
21,Clustering by fast search and find of density peaks,R1,"- 6 out of 7
- The last one was difficult to evaluate","- Evaluating the results that only displayed a visualization of the resulting clusters
- Some hyperparameters (dc, rhomin, deltamin) had to be found by trial and error when working with some of the data sets (13)",,"- CPU: Intel i5-4670
- RAM: 8 GB
- OS: Windows 10 Pro, version 1709
- Language: Matlab R2017b",Clustering by fast search and find of density peaks,"- The 3 experiments with only visualization were a complete match
- The 2 experiments with a clustering assignation achieved consistent results with the article
- The experiment with pairings evaluated with rTrue and rFalse got the same results",,Yes,33
22,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,R2,- 1 out of 4,"- It was difficult to get the library to build.
- It was difficult to get transform the output from the neural net to the correct input for the classificators ","- Assumed the Caffe library could be used instead of the Decaf library
- Assumed the structure and trained weights found were the same as in the article","- CPU: Intel i5-4670
- RAM: 8 GB
- OS: Windows 10 Pro, version 1709
- Language: Python 2.7",,,"- The pre-processing of the images
- The transformation of the output from the neural net",No,40
